Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold Male,0.01802,0.005204,1.01818334,1.007850817,1.028622,0.102323,0.048054,1.010284829,1.000814047,1.019845,0.000587,0.000547,1.007541898,0.993809703,1.021464,0.002656,0.000654,1.017413884,1.00897205,1.025926
Age 0-10 All,0.018539,0.031115,1.018711914,0.958441837,1.082772,0.290805,0.283324,1.029507466,0.97389576,1.088295,-0.004064,0.00365,0.94931064,0.866242488,1.040345,0.003238,0.003927,1.02127005,0.971432998,1.073664
Age 0-10 Female,-0.036975,0.044463,0.963700228,0.883271651,1.051452,0.006603,0.389713,1.000660518,0.927072555,1.080090,-0.006604,0.005082,0.918942984,0.80894171,1.043902,-0.000541,0.005663,0.996489676,0.927128485,1.071040
Age 0-10 Male,0.052042,0.037077,1.053419985,0.979582401,1.132823,0.487281,0.345848,1.049934835,0.98112235,1.123574,-0.002541,0.00442,0.967998443,0.866395515,1.081516,0.005456,0.004655,1.036100348,0.976441244,1.099405
Age 11-60 All,0.012355,0.005031,1.012431638,1.002497353,1.022464,0.039385,0.044985,1.003946266,0.995133321,1.012837,0.000752,0.000607,1.009672075,0.994412851,1.025165,0.000901,0.000631,1.005873683,0.99781994,1.013992
Age 11-60 Female,0.015249,0.00706,1.015365859,1.001412396,1.029514,0.017698,0.063332,1.001771367,0.989413167,1.014284,0.001451,0.000852,1.018746347,0.997201746,1.040756,0.001079,0.000886,1.007038152,0.995734981,1.018470
Age 11-60 Male,0.010216,0.006239,1.010268361,0.997989584,1.022698,0.055729,0.055665,1.005588457,0.994676779,1.016620,0.000221,0.000753,1.002832805,0.984065849,1.021958,0.000774,0.000781,1.005043677,0.995093138,1.015094
Age 60+All,0.010087,0.003693,1.010138045,1.002852781,1.017476,0.021174,0.032936,1.002119643,0.99567134,1.008610,-0.000023,0.000445,0.999705643,0.988606839,1.010929,0.001004,0.000462,1.006547341,1.000640325,1.012489
Age 60+ Female,0.00879,0.004719,1.008828745,0.999540865,1.018203,-0.005718,0.041942,0.999428363,0.991246108,1.007678,0.000385,0.000568,1.004940163,0.990721331,1.019363,0.000736,0.00059,1.004795462,0.99727113,1.012377
Age 60+ Male,0.011443,0.005038,1.011508722,1.001569751,1.021546,0.049917,0.045079,1.005004179,0.996163594,1.013923,-0.000453,0.000607,0.994218378,0.979192706,1.009475,0.001286,0.00063,1.008394034,1.000332855,1.016520
All: LAG2,0.00697,0.003282,1.006994347,1.000537424,1.013493,0.031167,0.029046,1.003121562,0.997427,1.008849,-0.000399,0.000393,0.99490582,0.985144662,1.004764,0.000755,0.00041,1.004919562,0.99968415,1.010182
Female,0.008219,0.004147,1.008252869,1.000090884,1.016481,0.0225,0.036741,1.002252533,0.995061001,1.009496,-0.000702,0.000496,0.99105465,0.978798727,1.003464,0.000837,0.000518,1.005455326,0.998841851,1.012113
Male,0.005795,0.004208,1.005811823,0.997550325,1.014142,0.039163,0.037238,1.003923979,0.996623366,1.011278,-0.000115,0.000503,0.998529083,0.986007553,1.011210,0.000678,0.000526,1.004416725,0.99770839,1.011170
Warm All,0.003918,0.003971,1.003925685,0.9961423,1.011770,0.005584,0.034333,1.000558556,0.993848133,1.007314,-0.000842,0.000508,0.98928027,0.976752189,1.001969,0.000401,0.0005,1.0026099,0.996243573,1.009017
Warm Female,0.005996,0.004605,1.006014012,0.996974785,1.015135,-0.007895,0.039884,0.999210812,0.991430168,1.007053,-0.001066,0.00059,0.986447868,0.971954078,1.001158,0.000621,0.000579,1.004044658,0.996665611,1.011478
Warm Male,0.001993,0.004626,1.001994987,0.992951002,1.011121,0.017911,0.039946,1.001792705,0.993979878,1.009667,-0.000635,0.000592,0.991904943,0.977281935,1.006747,0.000195,0.000583,1.001268304,0.993859013,1.008733
Cold All,0.012957,0.004169,1.013041306,1.00479723,1.021353,0.087122,0.03814,1.008750262,1.001237525,1.016319,0.000187,0.000436,1.002396467,0.991491635,1.013421,0.001415,0.000524,1.009239927,1.002524922,1.016000
Cold Female,0.011568,0.005107,1.011635168,1.001559495,1.021812,0.084582,0.046702,1.008494072,0.99930485,1.017768,-0.000273,0.000534,0.996511698,0.983250468,1.009952,0.001079,0.000643,1.007038152,0.998822374,1.015322
Cold Male,0.014322,0.005227,1.014425051,1.004085403,1.024871,0.089773,0.047928,1.009017717,0.999583499,1.018541,0.000626,0.000546,1.008044988,0.994330882,1.021948,0.001739,0.000656,1.011367626,1.002950404,1.019855
Age 0-10 All,0.007973,0.031863,1.008004869,0.946978888,1.072964,0.128635,0.281311,1.012946591,0.958607608,1.070366,-0.003177,0.003665,0.96015015,0.875803858,1.052620,0.001389,0.004063,1.00906938,0.958166113,1.062677
Age 0-10 Female,0.050282,0.045011,1.051567597,0.962771129,1.148554,0.187071,0.379896,1.018883174,0.945773171,1.097645,0.000033,0.005043,1.000422489,0.881529877,1.135350,0.010013,0.005666,1.067249203,0.992924808,1.147137
Age 0-10 Male,-0.017917,0.038245,0.982242555,0.911305402,1.058702,0.091449,0.346706,1.009186842,0.942886395,1.080149,-0.00529,0.004468,0.934529579,0.835432951,1.045381,-0.003791,0.004935,0.975659623,0.916206594,1.038971
Age 11-60 All,0.003695,0.005058,1.003701835,0.993800616,1.013702,0.013997,0.044866,1.00140068,0.992633233,1.010246,-0.000575,0.000602,0.992667018,0.977787438,1.007773,0.000561,0.000633,1.003653157,0.995591825,1.011780
